tag,timestamp,seed,p0_label,p1_label,winner_label,reward_p0,reward_p1,turns,p0_prizes_taken,p1_prizes_taken,p0_first_attack_turn,p1_first_attack_turn,end_reason,error
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,18,5,5,3,6,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,19,5,4,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,16,3,5,7,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,16,3,5,7,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,6,2,0,3,6,NO_POKEMON_IN_PLAY,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,20,5,5,9,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,16,2,5,11,6,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,16,3,5,3,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,13,5,1,3,10,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,14,3,3,9,6,NO_POKEMON_IN_PLAY,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,15,5,2,3,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,15,5,0,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,22,4,5,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,15,5,3,3,8,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,15,5,3,3,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,21,5,4,5,6,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,18,3,5,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,15,5,2,5,10,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-B,-1,1,18,4,5,7,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-A,mirror-B,mirror-A,1,-1,17,5,3,3,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,14,1,5,11,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,18,5,5,3,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,19,5,5,5,8,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,3,0,0,3,,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,16,2,5,9,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,20,5,5,7,4,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,17,5,2,5,12,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,17,5,3,3,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,15,5,3,5,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,17,5,3,3,10,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,16,3,5,3,6,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,15,4,3,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,19,5,3,3,4,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,22,4,5,11,12,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,4,1,0,3,4,NO_POKEMON_IN_PLAY,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-A,-1,1,14,3,5,5,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,13,5,2,3,6,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,23,5,4,5,6,DECK_OUT,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,3,0,0,3,,OTHER,
sanity,2026-07-03T17:56:30,run-20260703-175623,mirror-B,mirror-A,mirror-B,1,-1,19,5,4,7,6,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,3,1,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,21,5,0,13,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,19,5,2,11,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,3,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,4,1,5,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,5,1,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,5,1,3,6,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,17,3,3,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,lucario,-1,1,2,0,0,,2,NO_POKEMON_IN_PLAY,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,5,1,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,4,0,3,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,5,5,7,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,4,3,3,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,3,0,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,2,2,9,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,5,0,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,lucario,-1,1,18,3,5,9,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,17,3,3,5,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,5,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,19,5,4,11,4,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,9,4,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,21,3,1,3,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,9,3,0,3,6,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,1,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,17,5,2,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,3,2,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,2,5,6,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,19,4,3,5,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,5,0,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,1,7,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,4,2,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,2,3,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,17,5,2,5,4,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,17,5,1,5,2,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,5,0,3,8,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,11,3,0,3,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,5,1,5,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,5,1,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,5,3,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,13,2,3,11,4,DECK_OUT,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,3,3,5,4,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,19,5,1,5,2,OTHER,
tier1,2026-07-03T17:57:18,tier1-run1,alakazam,lucario,alakazam,1,-1,15,3,3,7,2,DECK_OUT,
