timestamp,candidate,anchor,cand_wins,anchor_wins,ties,errors,n_requested
2026-07-02T12:18:14,v24tune-i122plus,v21,70,30,0,0,100
2026-07-02T12:18:43,v24tune-i122plus,v23,55,45,0,0,100
2026-07-02T12:18:58,v24tune-i122plus,starmie,77,1,22,0,100
2026-07-02T12:19:27,v24tune-i136plus,v21,68,32,0,0,100
2026-07-02T12:19:56,v24tune-i136plus,v23,48,52,0,0,100
2026-07-02T12:20:10,v24tune-i136plus,starmie,72,2,26,0,100
2026-07-02T12:20:39,v24tune-i162plus,v21,68,32,0,0,100
2026-07-02T12:21:08,v24tune-i162plus,v23,52,48,0,0,100
2026-07-02T12:21:23,v24tune-i162plus,starmie,73,3,24,0,100
2026-07-02T12:21:52,v24-defaultW,v21,67,33,0,0,100
2026-07-02T12:22:21,v24-defaultW,v23,58,42,0,0,100
2026-07-02T12:22:38,v24-defaultW,starmie,75,4,21,0,100
2026-07-02T14:22:20,v24,random,198,2,0,0,200
2026-07-02T14:22:55,v24,lucario,186,14,0,0,200
2026-07-02T14:23:07,v24,dragapult,100,0,100,0,200
2026-07-02T14:23:35,v24,abomasnow,185,15,0,0,200
2026-07-02T14:23:53,v24,starmie,150,6,44,0,200
2026-07-02T14:24:39,v24,v21,147,53,0,0,200
2026-07-02T14:25:24,v24,v22,128,72,0,0,200
2026-07-02T14:26:37,v24,v23,110,90,0,0,200
2026-07-02T19:47:08,v25,random,198,2,0,0,200
2026-07-02T19:47:31,v25,lucario,184,16,0,0,200
2026-07-02T19:47:41,v25,dragapult,100,0,100,0,200
2026-07-02T19:48:00,v25,abomasnow,183,17,0,0,200
2026-07-02T19:48:13,v25,starmie,154,8,38,0,200
2026-07-02T19:48:41,v25,v21,135,65,0,0,200
2026-07-02T19:49:09,v25,v22,119,81,0,0,200
2026-07-02T19:49:37,v25,v23,102,98,0,0,200
2026-07-02T20:29:19,v21,random,93,7,0,0,100
2026-07-02T20:29:35,v21,lucario,82,18,0,0,100
2026-07-02T20:29:43,v21,dragapult,100,0,0,0,100
2026-07-02T20:29:58,v21,abomasnow,85,15,0,0,100
2026-07-02T20:30:08,v21,starmie,95,5,0,0,100
2026-07-02T20:30:26,v21,v22,40,60,0,0,100
2026-07-02T20:30:44,v21,v23,38,62,0,0,100
2026-07-02T20:30:59,v22,random,97,3,0,0,100
2026-07-02T20:31:15,v22,lucario,92,8,0,0,100
2026-07-02T20:31:24,v22,dragapult,100,0,0,0,100
2026-07-02T20:31:39,v22,abomasnow,91,9,0,0,100
2026-07-02T20:31:50,v22,starmie,97,3,0,0,100
2026-07-02T20:32:09,v22,v21,58,42,0,0,100
2026-07-02T20:32:28,v22,v23,53,47,0,0,100
2026-07-02T20:32:52,v23,random,97,3,0,0,100
2026-07-02T20:33:17,v23,lucario,96,4,0,0,100
2026-07-02T20:33:28,v23,dragapult,100,0,0,0,100
2026-07-02T20:33:48,v23,abomasnow,94,6,0,0,100
2026-07-02T20:34:04,v23,starmie,97,3,0,0,100
2026-07-02T20:34:34,v23,v21,60,40,0,0,100
2026-07-02T20:35:02,v23,v22,57,43,0,0,100
2026-07-02T20:42:15,v10,random,138,62,0,0,200
2026-07-02T20:42:53,v10,lucario,153,47,0,0,200
2026-07-02T20:43:18,v10,dragapult,200,0,0,0,200
2026-07-02T20:44:18,v10,abomasnow,133,67,0,0,200
2026-07-02T20:44:46,v10,starmie,189,11,0,0,200
2026-07-02T20:45:23,v10,v21,45,155,0,0,200
2026-07-02T20:45:53,v10,v22,58,142,0,0,200
2026-07-02T20:46:23,v10,v23,50,150,0,0,200
2026-07-02T20:47:23,v25b,random,197,3,0,0,200
2026-07-02T20:47:46,v25b,lucario,192,8,0,0,200
2026-07-02T20:47:57,v25b,dragapult,200,0,0,0,200
2026-07-02T20:48:18,v25b,abomasnow,186,14,0,0,200
2026-07-02T20:48:32,v25b,starmie,195,5,0,0,200
2026-07-02T20:49:00,v25b,v21,134,66,0,0,200
2026-07-02T20:49:28,v25b,v22,108,92,0,0,200
2026-07-02T20:49:58,v25b,v23,114,86,0,0,200
2026-07-03T00:16:17,v25c,random,197,3,0,0,200
2026-07-03T00:17:03,v25c,lucario,192,8,0,0,200
2026-07-03T00:17:35,v25c,abomasnow,194,6,0,0,200
2026-07-03T00:17:57,v25c,starmie,193,7,0,0,200
2026-07-03T00:18:38,v25c,v21,137,63,0,0,200
2026-07-03T00:19:13,v25c,v22,126,74,0,0,200
2026-07-03T00:19:40,v25c,v23,126,74,0,0,200
