replay,opponent,archetype
replays\v22\83156504.json,japan nobu,alakazam
replays\v22\83157922.json,Alfonso Sánchez,alakazam
replays\v22\83159402.json,ikaikasama,dragapult
replays\v23\83166796.json,Kazuta MIZUTA,archaludon
replays\v23\83168091.json,Tsuyoshi Chiba,alakazam
replays\v23\83168738.json,Thazzeus,lucario
replays\v23\83173539.json,titanascended,lucario
replays\v23\83175768.json,need a job (we're unemployed),grimmsnarl
replays\v23\83296936.json,tellusium,starmie
replays\v23\83309593.json,StockMagikarp,abomasnow
replays\v23\83327563.json,IIDA,starmie
replays\v23\83332461.json,suguuuuu & hiehie,rockets-mewtwo
replays\v23\83344386.json,kajitake,dragapult
replays\v23\83347329.json,KellersInColorado,dragapult
replays\v23\83348630.json,ヌメルゴンex,crustle
replays\v23\83358041 (1).json,Akhil Chinta,archaludon
replays\v23\83358041.json,Akhil Chinta,archaludon
replays\v23\83367960.json,monnosuke,dragapult
replays\v25.2\83454333.json,MooDerEchte,crustle
replays\v25.2\83455146.json,Praxel,archaludon
replays\v25.2\83455814.json,Praxel,archaludon
replays\v25.2\83458785.json,Davide,starmie
replays\v25.2\83459589.json,baudo828,crustle
replays\v25.2\83461698.json,"Pikachu, I choose you!",lucario
replays\v25.2\83462350.json,curry panda ex,lucario
replays\v25\83429870-1.json,?,PARSE_ERROR('list' object has no attribute 'get')
replays\v25\83429870.json,Kento_1938,other/unknown
replays\v26c\83469078.json,hoodrichpirobo,alakazam
replays\v22\83156504.json,japan nobu,alakazam
replays\v22\83157922.json,Alfonso Sánchez,alakazam
replays\v22\83159402.json,ikaikasama,dragapult
replays\v23\83166796.json,Kazuta MIZUTA,archaludon
replays\v23\83168091.json,Tsuyoshi Chiba,alakazam
replays\v23\83168738.json,Thazzeus,lucario
replays\v23\83173539.json,titanascended,lucario
replays\v23\83175768.json,need a job (we're unemployed),grimmsnarl
replays\v23\83296936.json,tellusium,starmie
replays\v23\83309593.json,StockMagikarp,abomasnow
replays\v23\83327563.json,IIDA,starmie
replays\v23\83332461.json,suguuuuu & hiehie,rockets-mewtwo
replays\v23\83344386.json,kajitake,dragapult
replays\v23\83347329.json,KellersInColorado,dragapult
replays\v23\83348630.json,ヌメルゴンex,crustle
replays\v23\83358041 (1).json,Akhil Chinta,archaludon
replays\v23\83358041.json,Akhil Chinta,archaludon
replays\v23\83367960.json,monnosuke,dragapult
replays\v25.2\83454333.json,MooDerEchte,crustle
replays\v25.2\83455146.json,Praxel,archaludon
replays\v25.2\83455814.json,Praxel,archaludon
replays\v25.2\83458785.json,Davide,starmie
replays\v25.2\83459589.json,baudo828,crustle
replays\v25.2\83461698.json,"Pikachu, I choose you!",lucario
replays\v25.2\83462350.json,curry panda ex,lucario
replays\v25\83429870-1.json,?,PARSE_ERROR('list' object has no attribute 'get')
replays\v25\83429870.json,Kento_1938,other/unknown
replays\v26c\83469078.json,hoodrichpirobo,alakazam
replays\bulk\episode-80740669-replay.json,Jason Anderson,other/unknown
replays\bulk\episode-80741254-replay.json,RyotaroAbe,alakazam
replays\bulk\episode-80741768-replay.json,taichi-1,abomasnow
replays\bulk\episode-80742271-replay.json,Genocide Hashimoto,bellibolt
replays\bulk\episode-80742941-replay.json,takoyaki_taiyaki,lucario
replays\bulk\episode-80743443-replay.json,rian55,alakazam
replays\bulk\episode-80744109-replay.json,hashimu,other/unknown
replays\bulk\episode-80744621-replay.json,Mohammad Hatoum,abomasnow
replays\bulk\episode-80745129-replay.json,Eruto Kondo,rockets-mewtwo
replays\bulk\episode-80745803-replay.json,HirotaSaurus,lucario
replays\bulk\episode-80746308-replay.json,nao_370,abomasnow
replays\bulk\episode-80746988-replay.json,wouter roels,dragapult
replays\bulk\episode-80747663-replay.json,gota,abomasnow
replays\bulk\episode-80748166-replay.json,mingjiang,other/unknown
replays\bulk\episode-80748666-replay.json,Joey Dufourd,other/unknown
replays\bulk\episode-80749338-replay.json,KTG,alakazam
replays\bulk\episode-80749844-replay.json,naoki,rockets-mewtwo
replays\bulk\episode-80750365-replay.json,sea8gull,crustle
replays\bulk\episode-80750867-replay.json,イチノセ,gardevoir
replays\bulk\episode-80751316-replay.json,Vedant A.,bellibolt
replays\bulk\episode-80751368-replay.json,Sumant V J,dragapult
replays\bulk\episode-80754513-replay.json,wouter roels,other/unknown
replays\bulk\episode-80758012-replay.json,Kalameet,other/unknown
replays\bulk\episode-80761713-replay.json,David Ralf,other/unknown
replays\bulk\episode-80775772-replay.json,GarlicToday,alakazam
replays\bulk\episode-80800765-replay.json,Ivan Lee,dragapult
replays\bulk\episode-80824237-replay.json,LumenLiquidity,dragapult
replays\bulk\episode-80854099-replay.json,sukesuke012,dragapult
replays\bulk\episode-80864225-replay.json,IM AI AGENT,dragapult
replays\bulk\episode-80870861-replay.json,てうぽけ,alakazam
replays\bulk\episode-80881228-replay.json,Obaachan Sensei to AI Gundan,other/unknown
replays\bulk\episode-80883601-replay.json,juice-le,bellibolt
replays\bulk\episode-80909106-replay.json,Jason Anderson,lucario
replays\bulk\episode-80909224-replay.json,いせえび,other/unknown
replays\bulk\episode-80909958-replay.json,Jeffrey Pike,abomasnow
replays\bulk\episode-80910497-replay.json,Matthew Huang,other/unknown
replays\bulk\episode-80910538-replay.json,Myagi,crustle
replays\bulk\episode-80911076-replay.json,Ricky Yuen,other/unknown
replays\bulk\episode-80911154-replay.json,Kitaev,lucario
replays\bulk\episode-80911651-replay.json,UrbanFox,other/unknown
replays\bulk\episode-80912397-replay.json,Shuri Ikeno,dragapult
replays\bulk\episode-80913150-replay.json,Lumina-jp,other/unknown
replays\bulk\episode-80913872-replay.json,Sushi Party,lucario
replays\bulk\episode-80914429-replay.json,Joshua,bellibolt
replays\bulk\episode-80915175-replay.json,Eesh saxena,abomasnow
replays\bulk\episode-80915920-replay.json,bruxelles,lucario
replays\bulk\episode-80919199-replay.json,YukiIde,abomasnow
replays\bulk\episode-80921891-replay.json,Kei M,lucario
replays\bulk\episode-80929042-replay.json,eimanjibot,other/unknown
replays\bulk\episode-80931727-replay.json,SENGA,lucario
replays\bulk\episode-80939675-replay.json,Robina,abomasnow
replays\bulk\episode-80940442-replay.json,TAKUMI7775,other/unknown
replays\bulk\episode-80943993-replay.json,Neko,other/unknown
replays\bulk\episode-80951452-replay.json,KDelapeace,abomasnow
replays\bulk\episode-80953817-replay.json,ZM0526,raging-bolt
replays\bulk\episode-80955635-replay.json,arm10n,other/unknown
replays\bulk\episode-80956304-replay.json,nethakase,abomasnow
replays\bulk\episode-80961815-replay.json,yeonggil7,grimmsnarl
replays\bulk\episode-80965040-replay.json,af21081,other/unknown
replays\bulk\episode-80967411-replay.json,seven,abomasnow
replays\bulk\episode-80972207-replay.json,KellersInColorado,dragapult
replays\bulk\episode-80981148-replay.json,YusukeKatoPremium,crustle
replays\bulk\episode-80991266-replay.json,Sholtis Labs,other/unknown
replays\bulk\episode-81007638-replay.json,BioMath,alakazam
replays\bulk\episode-81008869-replay.json,nekokaeru,other/unknown
replays\bulk\episode-81019505-replay.json,jiatu.l,other/unknown
replays\bulk\episode-81045211-replay.json,Edward Lue Chee Lip,other/unknown
replays\bulk\episode-81052933-replay.json,Team A-B-A,alakazam
replays\bulk\episode-81055182-replay.json,yottan0304,other/unknown
replays\bulk\episode-81062044-replay.json,YOYOYO2026,other/unknown
replays\bulk\episode-81067415-replay.json,Ryosei T,other/unknown
replays\bulk\episode-81071079-replay.json,team asayan,dragapult
replays\bulk\episode-81084233-replay.json,nigenight,other/unknown
replays\bulk\episode-81085514-replay.json,LLLJ,alakazam
replays\bulk\episode-81088912-replay.json,makimakiver,other/unknown
replays\bulk\episode-81093468-replay.json,Aakansha.aakaa,abomasnow
replays\bulk\episode-81094634-replay.json,Y.Kaisei,lucario
replays\bulk\episode-81099582-replay.json,kawaiy,bellibolt
replays\bulk\episode-81103763-replay.json,The Rocket Science,abomasnow
replays\bulk\episode-81113296-replay.json,cAco3,crustle
replays\bulk\episode-81117691-replay.json,Alberto Bonsanto,other/unknown
replays\bulk\episode-81128693-replay.json,RiJ,lucario
replays\bulk\episode-81132002-replay.json,すも（もす）,other/unknown
replays\bulk\episode-81144819-replay.json,Yohei Fushii,raging-bolt
replays\bulk\episode-81147181-replay.json,Pokemick,alakazam
replays\bulk\episode-81159022-replay.json,andayougui,alakazam
replays\bulk\episode-81163529-replay.json,nyahomaru.,other/unknown
replays\bulk\episode-81164797-replay.json,OsElCoUniv,other/unknown
replays\bulk\episode-81173564-replay.json,huurou,other/unknown
replays\bulk\episode-81182281-replay.json,fabio rovai,lucario
replays\bulk\episode-81193664-replay.json,Safiullah Baig,other/unknown
replays\bulk\episode-81201953-replay.json,nya,lucario
replays\bulk\episode-81208347-replay.json,Obaachan Sensei to AI Gundan,abomasnow
replays\bulk\episode-81215266-replay.json,protoLabsStudio,other/unknown
replays\bulk\episode-81215338-replay.json,Xiaolei Lian,dragapult
replays\bulk\episode-81217754-replay.json,Myagi,grimmsnarl
replays\bulk\episode-81225044-replay.json,naisow,dragapult
replays\bulk\episode-81227155-replay.json,（かえる）,dragapult
replays\bulk\episode-81242924-replay.json,SO0529,crustle
replays\bulk\episode-81246719-replay.json,Varish Guharaman,other/unknown
replays\bulk\episode-81247994-replay.json,Ultra7,other/unknown
replays\bulk\episode-81253767-replay.json,OKDI,alakazam
replays\bulk\episode-81261753-replay.json,フクフク,other/unknown
replays\bulk\episode-81267379-replay.json,Insper TCG,other/unknown
replays\bulk\episode-81273829-replay.json,aoi_sugawara,dragapult
replays\bulk\episode-81276880-replay.json,Apocalypse7,dragapult
replays\bulk\episode-81283286-replay.json,fuku_support,raging-bolt
replays\bulk\episode-81289035-replay.json,Ryosei T,other/unknown
replays\bulk\episode-81307723-replay.json,aoi_sugawara,dragapult
replays\bulk\episode-81313234-replay.json,akahane,other/unknown
replays\bulk\episode-81344249-replay.json,Tanishi＆haru,other/unknown
replays\bulk\episode-81348176-replay.json,KAI JP,other/unknown
replays\bulk\episode-81372669-replay.json,CYLIM87,dragapult
